Timestep,entities_sector_0,entities_sector_1,entities_sector_2,entities_sector_3,mov_0_to_0,mov_0_to_1,mov_0_to_2,mov_0_to_3,mov_1_to_0,mov_1_to_1,mov_1_to_2,mov_1_to_3,mov_2_to_0,mov_2_to_1,mov_2_to_2,mov_2_to_3,mov_3_to_0,mov_3_to_1,mov_3_to_2,mov_3_to_3
15290,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
5890,19.0,12.0,18.0,18.0,19.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,18.0
9500,10.0,5.0,6.0,6.0,10.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0
13570,1.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
3630,63.0,38.0,58.0,52.0,63.0,0.0,3.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,52.0
5600,23.0,14.0,20.0,19.0,22.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,20.0,0.0,1.0,0.0,0.0,19.0
3540,66.0,41.0,61.0,55.0,66.0,0.0,0.0,1.0,0.0,41.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,54.0
4270,45.0,31.0,42.0,32.0,45.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,32.0
9360,7.0,5.0,7.0,8.0,7.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,8.0
13790,1.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
15580,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
5350,26.0,17.0,22.0,17.0,26.0,0.0,1.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,17.0
10530,4.0,5.0,6.0,6.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0
6800,20.0,7.0,14.0,10.0,20.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,10.0
2920,99.0,62.0,78.0,87.0,96.0,0.0,0.0,0.0,0.0,62.0,1.0,0.0,1.0,0.0,77.0,0.0,2.0,0.0,0.0,87.0
6370,18.0,7.0,16.0,11.0,18.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,11.0
13170,1.0,2.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
6180,17.0,8.0,16.0,16.0,16.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,15.0,0.0,0.0,0.0,0.0,16.0
1180,359.0,291.0,238.0,307.0,355.0,1.0,4.0,2.0,1.0,287.0,1.0,2.0,3.0,2.0,233.0,0.0,0.0,1.0,0.0,303.0
16770,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
13300,1.0,2.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
7850,11.0,7.0,12.0,9.0,11.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,9.0
2330,133.0,100.0,124.0,133.0,133.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,124.0,0.0,0.0,0.0,0.0,133.0
8340,7.0,8.0,10.0,8.0,7.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,8.0
14200,1.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
1960,206.0,134.0,135.0,162.0,204.0,0.0,0.0,1.0,0.0,132.0,0.0,0.0,1.0,1.0,135.0,0.0,1.0,1.0,0.0,161.0
8620,8.0,7.0,9.0,9.0,8.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,9.0
10330,5.0,5.0,5.0,7.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,7.0
15120,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
810,488.0,430.0,318.0,423.0,483.0,1.0,1.0,1.0,1.0,425.0,0.0,1.0,3.0,1.0,317.0,0.0,1.0,3.0,0.0,421.0
16060,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
16190,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
13190,1.0,2.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
9050,7.0,7.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,7.0
3800,61.0,37.0,47.0,45.0,61.0,0.0,0.0,1.0,0.0,37.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,44.0
1110,390.0,305.0,250.0,320.0,386.0,1.0,1.0,4.0,1.0,303.0,0.0,0.0,1.0,1.0,249.0,0.0,2.0,0.0,0.0,316.0
14530,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
14280,1.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
14430,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
5700,19.0,14.0,21.0,19.0,19.0,0.0,1.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,19.0
14400,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
9430,8.0,5.0,6.0,8.0,8.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,7.0
10570,3.0,5.0,6.0,6.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0
13200,1.0,2.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
12310,3.0,2.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0
3100,92.0,58.0,67.0,80.0,89.0,0.0,1.0,1.0,1.0,57.0,0.0,0.0,2.0,1.0,66.0,0.0,0.0,0.0,0.0,79.0
16950,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
